detected_X_V (unit),detected_Y_V (unit),detected_Z_V (unit),detected_X_P (unit),detected_Y_P (unit),detected_Z_P (unit),detected_XF (unit),detected_YF (unit),detected_ZF (unit),X_position (unit),Y_position (unit),Z_position (unit)
-4.00E-03,-2.30E-01,-3.50E-02,-7.50E-01,-5.50E-02,-1.35E-01,-1.97E-01,-2.22E-01,-9.07E-02,4.00E-01,2.00E-01,3.50E-02
4.46E-01,-1.75E-01,-2.99E-02,1.78E-01,-2.00E-01,4.05E-01,3.76E-01,-1.76E-01,2.12E-01,4.00E-01,2.00E-01,2.99E-02
4.46E-01,-1.75E-01,-3.00E-02,2.23E-01,-2.00E-01,4.02E-01,3.88E-01,-1.76E-01,2.11E-01,4.00E-01,2.00E-01,3.00E-02
4.46E-01,-1.75E-01,-3.00E-02,2.24E-01,-2.00E-01,4.01E-01,3.88E-01,-1.76E-01,2.10E-01,4.00E-01,2.00E-01,3.00E-02
1.65E-02,-1.51E-02,4.41E-02,2.25E-01,-2.00E-01,4.00E-01,7.05E-02,-2.37E-02,2.42E-01,4.00E-01,2.00E-01,3.00E-02
1.64E-02,-1.51E-02,4.42E-02,2.26E-01,-2.00E-01,3.98E-01,7.07E-02,-2.37E-02,2.42E-01,4.00E-01,2.00E-01,3.00E-02
1.63E-02,-1.51E-02,4.42E-02,2.28E-01,-2.00E-01,3.97E-01,7.10E-02,-2.37E-02,2.41E-01,4.00E-01,2.00E-01,3.00E-02
1.63E-02,-1.51E-02,4.42E-02,2.29E-01,-2.00E-01,3.95E-01,7.12E-02,-2.37E-02,2.40E-01,4.00E-01,2.00E-01,3.00E-02
1.62E-02,-1.51E-02,4.42E-02,2.30E-01,-2.00E-01,3.94E-01,7.15E-02,-2.37E-02,2.39E-01,4.00E-01,2.00E-01,3.00E-02
1.61E-02,-1.51E-02,4.42E-02,3.00E-02,-3.00E-02,3.00E-02,1.97E-02,-1.58E-02,3.63E-02,4.00E-01,2.00E-01,3.00E-02
1.61E-02,-1.51E-02,4.43E-02,3.00E-02,-3.00E-02,3.00E-02,1.97E-02,-1.58E-02,3.63E-02,4.00E-01,2.00E-01,3.00E-02
1.60E-02,-1.51E-02,4.43E-02,3.00E-02,-3.00E-02,3.00E-02,1.96E-02,-1.58E-02,3.63E-02,4.00E-01,2.00E-01,3.00E-02
1.59E-02,-1.51E-02,4.43E-02,3.00E-02,-3.00E-02,3.00E-02,1.96E-02,-1.58E-02,3.63E-02,4.00E-01,2.00E-01,3.00E-02
1.58E-02,-1.51E-02,4.43E-02,3.00E-02,-3.00E-02,3.00E-02,1.95E-02,-1.58E-02,3.64E-02,4.00E-01,2.00E-01,3.00E-02
1.82E-02,-1.50E-02,4.45E-02,3.00E-02,-3.00E-02,3.00E-02,2.12E-02,-1.57E-02,3.64E-02,4.00E-01,2.00E-01,3.00E-02
1.81E-02,-1.51E-02,4.45E-02,3.00E-02,-3.00E-02,3.00E-02,2.12E-02,-1.58E-02,3.64E-02,4.00E-01,2.00E-01,3.00E-02
1.80E-02,-1.51E-02,4.45E-02,3.00E-02,-3.00E-02,3.00E-02,2.11E-02,-1.58E-02,3.64E-02,4.00E-01,2.00E-01,3.00E-02
1.79E-02,-1.51E-02,4.46E-02,3.00E-02,-3.00E-02,3.00E-02,2.11E-02,-1.58E-02,3.65E-02,4.00E-01,2.00E-01,3.00E-02
