X_differece_V (unit),Y_differece_V (unit),Z_differece_V (unit),X_differece_P (unit),Y_differece_P (unit),Z_differece_P (unit),,,,,,,,,,,,
-0.4594,0.005027,0.5211,-0.4721,0.04923,0.55,0.21104836,2.53E-05,0.27154521,0.22287841,0.002423593,0.3025,,,,,,
-0.4594,-0.01997,0.5211,-0.4721,0.02423,0.55,0.21104836,0.000398801,0.27154521,0.22287841,0.000587093,0.3025,,,,,,
-0.4594,-0.04497,0.5211,-0.4721,-0.0007676,0.55,0.21104836,0.002022301,0.27154521,0.22287841,5.89E-07,0.3025,,,,,,
-0.4844,-0.04497,0.5211,-0.4971,-0.0007676,0.55,0.23464336,0.002022301,0.27154521,0.24710841,5.89E-07,0.3025,,,,,,
-0.4844,-0.06997,0.5211,-0.4971,-0.02577,0.55,0.23464336,0.004895801,0.27154521,0.24710841,0.000664093,0.3025,,,,,,
-0.4844,-0.06997,0.5211,-0.4943,0.01614,0.55,0.23464336,0.004895801,0.27154521,0.24433249,0.0002605,0.3025,,,,,,
-0.4844,-0.09497,0.5211,-0.4943,-0.008858,0.55,0.23464336,0.009019301,0.27154521,0.24433249,7.85E-05,0.3025,,,,,,
-0.4844,-0.12,0.5211,-0.4943,-0.03386,0.55,0.23464336,0.0144,0.27154521,0.24433249,0.0011465,0.3025,,,,,,
-0.4844,-0.12,0.5211,-0.4731,-0.01165,0.55,0.23464336,0.0144,0.27154521,0.22382361,0.000135723,0.3025,,,,,,
-0.4844,-0.145,0.5211,-0.4731,-0.03665,0.55,0.23464336,0.021025,0.27154521,0.22382361,0.001343223,0.3025,,,,,,
-0.5416,-0.04592,0.5211,-0.4731,-0.06165,0.55,0.29333056,0.002108646,0.27154521,0.22382361,0.003800723,0.3025,,,,,,
-0.5416,-0.07092,0.5211,-0.4731,-0.08665,0.55,0.29333056,0.005029646,0.27154521,0.22382361,0.007508223,0.3025,,,,,,
-0.5416,-0.09592,0.5211,-0.5188,-0.01008,0.55,0.29333056,0.009200646,0.27154521,0.26915344,0.000101606,0.3025,,,,,,
-0.4176,0.00779,0.5641,-0.5188,-0.01008,0.55,0.17438976,6.07E-05,0.31820881,0.26915344,0.000101606,0.3025,,,,,,
-0.4176,-0.01721,0.5641,-0.5188,-0.03508,0.55,0.17438976,0.000296184,0.31820881,0.26915344,0.001230606,0.3025,,,,,,
-0.4176,-0.01721,0.5641,-0.5479,0.03064,0.55,0.17438976,0.000296184,0.31820881,0.30019441,0.00093881,0.3025,,,,,,
-0.4176,-0.04221,0.5641,-0.5479,0.005644,0.55,0.17438976,0.001781684,0.31820881,0.30019441,3.19E-05,0.3025,,,,,,
-0.389,-0.01535,0.5641,-0.5229,-0.01936,0.55,0.151321,0.000235623,0.31820881,0.27342441,0.00037481,0.3025,,,,,,
-0.364,-0.01535,0.5641,-0.4979,-0.01936,0.55,0.132496,0.000235623,0.31820881,0.24790441,0.00037481,0.3025,,,,,,
-0.364,-0.04035,0.5641,-0.5495,-0.0214,0.55,0.132496,0.001628123,0.31820881,0.30195025,0.00045796,0.3025,,,,,,
-0.339,-0.04035,0.5641,-0.5245,-0.0214,0.55,0.114921,0.001628123,0.31820881,0.27510025,0.00045796,0.3025,,,,,,
-0.4046,-0.1054,0.5182,-0.5245,-0.0214,0.55,0.16370116,0.01110916,0.26853124,0.27510025,0.00045796,0.3025,,,,,,
-0.3796,-0.1054,0.5182,-0.4995,-0.0214,0.55,0.14409616,0.01110916,0.26853124,0.24950025,0.00045796,0.3025,,,,,,
-0.4118,-0.07696,0.5186,-0.4995,-0.0214,0.55,0.16957924,0.005922842,0.26894596,0.24950025,0.00045796,0.3025,,,,,,
-0.3868,-0.07696,0.5186,-0.4745,-0.0214,0.55,0.14961424,0.005922842,0.26894596,0.22515025,0.00045796,0.3025,,,,,,
-0.3618,-0.07696,0.5186,-0.4495,-0.0214,0.55,0.13089924,0.005922842,0.26894596,0.20205025,0.00045796,0.3025,,,,,,
-0.4536,-0.0129,0.5641,-0.4495,-0.0214,0.55,0.20575296,0.00016641,0.31820881,0.20205025,0.00045796,0.3025,,,,,,
-0.4536,-0.0129,0.5641,-0.4832,-0.007896,0.55,0.20575296,0.00016641,0.31820881,0.23348224,6.23E-05,0.3025,,,,,,
-0.4286,-0.0129,0.5641,-0.4582,-0.007896,0.55,0.18369796,0.00016641,0.31820881,0.20994724,6.23E-05,0.3025,,,,,,
-0.4549,-0.0129,0.5641,-0.4582,-0.007896,0.55,0.20693401,0.00016641,0.31820881,0.20994724,6.23E-05,0.3025,,,,,,
-0.4299,-0.0129,0.5641,-0.4332,-0.007896,0.55,0.18481401,0.00016641,0.31820881,0.18766224,6.23E-05,0.3025,,,,,,
-0.4573,-0.0129,0.5641,-0.4332,-0.007896,0.55,0.20912329,0.00016641,0.31820881,0.18766224,6.23E-05,0.3025,,,,,,
-0.4323,0.0121,0.5641,-0.4082,0.0171,0.55,0.18688329,0.00014641,0.31820881,0.16662724,0.00029241,0.3025,,,,,,
-0.4323,0.0371,0.5641,-0.4082,0.0421,0.55,0.18688329,0.00137641,0.31820881,0.16662724,0.00177241,0.3025,,,,,,
-0.4323,0.0621,0.5641,-0.4082,0.0671,0.55,0.18688329,0.00385641,0.31820881,0.16662724,0.00450241,0.3025,,,,,,
-0.4585,0.07185,0.5641,-0.4082,0.0921,0.55,0.21022225,0.005162423,0.31820881,0.16662724,0.00848241,0.3025,,,,,,
-0.4585,0.09685,0.5641,-0.4082,0.1171,0.55,0.21022225,0.009379923,0.31820881,0.16662724,0.01371241,0.3025,,,,,,
-0.4585,0.1218,0.5641,-0.5147,-0.025,0.5174,0.21022225,0.01483524,0.31820881,0.26491609,0.000625,0.26770276,,,,,,
-0.4585,0.1468,0.5641,-0.5147,-7.45E-10,0.5174,0.21022225,0.02155024,0.31820881,0.26491609,5.55E-19,0.26770276,,,,,,
-0.4585,0.03703,0.5641,-0.5147,-7.45E-10,0.5174,0.21022225,0.001371221,0.31820881,0.26491609,5.55E-19,0.26770276,,,,,,
-0.4585,0.06203,0.5641,-0.5147,0.025,0.5174,0.21022225,0.003847721,0.31820881,0.26491609,0.000625,0.26770276,,,,,,
-0.4585,0.08703,0.5641,-0.45,0.02682,0.5384,0.21022225,0.007574221,0.31820881,0.2025,0.000719312,0.28987456,,,,,,
-0.4585,0.112,0.5641,-0.45,0.05182,0.5384,0.21022225,0.012544,0.31820881,0.2025,0.002685312,0.28987456,,,,,,
-0.4585,0.137,0.5641,-0.45,0.07682,0.5384,0.21022225,0.018769,0.31820881,0.2025,0.005901312,0.28987456,,,,,,
-0.4585,0.02722,0.5255,-0.45,0.07682,0.5384,0.21022225,0.000740928,0.27615025,0.2025,0.005901312,0.28987456,,,,,,
-0.4585,0.05222,0.5255,-0.45,0.1018,0.5384,0.21022225,0.002726928,0.27615025,0.2025,0.01036324,0.28987456,,,,,,
-0.4585,0.05222,0.5255,-0.45,-0.01209,0.5393,0.21022225,0.002726928,0.27615025,0.2025,0.000146168,0.29084449,,,,,,
-0.4585,0.07722,0.5255,-0.45,-0.005463,0.5093,0.21022225,0.005962928,0.27615025,0.2025,2.98E-05,0.25938649,,,,,,
-0.4585,0.005027,0.5641,-0.45,-0.005463,0.5093,0.21022225,2.53E-05,0.31820881,0.2025,2.98E-05,0.25938649,,,,,,
-0.4585,0.03003,0.5641,-0.4693,0.06288,0.55,0.21022225,0.000901801,0.31820881,0.22024249,0.003953894,0.3025,,,,,,
-0.4835,0.03003,0.5641,-0.4943,0.06288,0.55,0.23377225,0.000901801,0.31820881,0.24433249,0.003953894,0.3025,,,,,,
-0.4835,0.006641,0.5641,-0.4943,0.06288,0.55,0.23377225,4.41E-05,0.31820881,0.24433249,0.003953894,0.3025,,,,,,
-0.5085,0.006641,0.5641,-0.5193,0.06288,0.55,0.25857225,4.41E-05,0.31820881,0.26967249,0.003953894,0.3025,,,,,,
-0.5085,0.006641,0.5641,-0.4504,0.003123,0.55,0.25857225,4.41E-05,0.31820881,0.20286016,9.75E-06,0.3025,,,,,,
-0.5335,0.006641,0.5641,-0.4754,0.003123,0.55,0.28462225,4.41E-05,0.31820881,0.22600516,9.75E-06,0.3025,,,,,,
-0.5335,0.006641,0.5641,-0.5448,0.02728,0.55,0.28462225,4.41E-05,0.31820881,0.29680704,0.000744198,0.3025,,,,,,
-0.4786,0.006641,0.5641,-0.5698,0.02728,0.55,0.22905796,4.41E-05,0.31820881,0.32467204,0.000744198,0.3025,,,,,,
-0.5036,0.006641,0.5641,-0.5948,0.02728,0.55,0.25361296,4.41E-05,0.31820881,0.35378704,0.000744198,0.3025,,,,,,
-0.5286,0.006641,0.5641,-0.6198,0.02728,0.55,0.27941796,4.41E-05,0.31820881,0.38415204,0.000744198,0.3025,,,,,,
-0.5286,0.006641,0.5641,-0.5161,-0.00004234,0.55,0.27941796,4.41E-05,0.31820881,0.26635921,1.79E-09,0.3025,,,,,,
-0.4702,0.006641,0.5269,-0.5161,-0.00004234,0.55,0.22108804,4.41E-05,0.27762361,0.26635921,1.79E-09,0.3025,,,,,,
-0.4952,0.006641,0.5269,-0.5411,-0.00004234,0.55,0.24522304,4.41E-05,0.27762361,0.29278921,1.79E-09,0.3025,,,,,,
-0.4952,-0.01836,0.5269,-0.5411,-0.02504,0.55,0.24522304,0.00033709,0.27762361,0.29278921,0.000627002,0.3025,,,,,,
-0.5202,-0.01836,0.5269,-0.5661,-0.02504,0.55,0.27060804,0.00033709,0.27762361,0.32046921,0.000627002,0.3025,,,,,,
