X_differece_V (unit),Y_differece_V (unit),Z_differece_V (unit),X_differece_P (unit),Y_differece_P (unit),Z_differece_P (unit),,,,,,,,,,,,
-0.4549,0.07722,0.5211,-0.5289,0.07611,0.55,0.20693401,0.005962928,0.27154521,0.27973521,0.005792732,0.3025,,,,,,
-0.4549,0.07722,0.5211,-0.4513,-0.03672,0.55,0.20693401,0.005962928,0.27154521,0.20367169,0.001348358,0.3025,,,,,,
-0.4549,0.005027,0.5641,-0.4513,-0.03672,0.55,0.20693401,2.53E-05,0.31820881,0.20367169,0.001348358,0.3025,,,,,,
-0.4549,0.005027,0.5641,-0.545,0.01886,0.55,0.20693401,2.53E-05,0.31820881,0.297025,0.0003557,0.3025,,,,,,
-0.4549,0.005027,0.5641,-0.4967,0.01033,0.55,0.20693401,2.53E-05,0.31820881,0.24671089,0.000106709,0.3025,,,,,,
-0.4549,0.005027,0.5641,-0.45,-0.01461,0.4969,0.20693401,2.53E-05,0.31820881,0.2025,0.000213452,0.24690961,,,,,,
-0.4549,0.005027,0.5641,-0.523,-0.007462,0.55,0.20693401,2.53E-05,0.31820881,0.273529,5.57E-05,0.3025,,,,,,
-0.4549,0.005027,0.5641,-0.5345,0.005611,0.55,0.20693401,2.53E-05,0.31820881,0.28569025,3.15E-05,0.3025,,,,,,
-0.4549,0.005027,0.5641,-0.5288,-0.02853,0.55,0.20693401,2.53E-05,0.31820881,0.27962944,0.000813961,0.3025,,,,,,
-0.4549,0.005027,0.5641,-0.4601,-0.03948,0.55,0.20693401,2.53E-05,0.31820881,0.21169201,0.00155867,0.3025,,,,,,
-0.4549,0.005027,0.5641,-0.5061,0.01209,0.55,0.20693401,2.53E-05,0.31820881,0.25613721,0.000146168,0.3025,,,,,,
-0.4549,0.005027,0.5641,-0.5079,0.02203,0.55,0.20693401,2.53E-05,0.31820881,0.25796241,0.000485321,0.3025,,,,,,
