detected_X_V (unit),detected_Y_V (unit),detected_Z_V (unit),detected_X_P (unit),detected_Y_P (unit),detected_Z_P (unit),detected_XF (unit),detected_YF (unit),detected_ZF (unit),X_position (unit),Y_position (unit),Z_position (unit)
-4.00E-03,-2.30E-01,-3.50E-02,-7.50E-01,-5.50E-02,-1.35E-01,-1.97E-01,-2.22E-01,-9.07E-02,4.00E-01,2.00E-01,3.50E-02
4.46E-01,-1.75E-01,-2.42E-02,1.78E-01,-2.00E-01,4.10E-01,3.76E-01,-1.76E-01,2.18E-01,4.00E-01,2.00E-01,2.42E-02
4.46E-01,-1.75E-01,-2.49E-02,2.23E-01,-2.00E-01,4.08E-01,3.88E-01,-1.76E-01,2.16E-01,4.00E-01,2.00E-01,2.49E-02
4.46E-01,-1.75E-01,-2.50E-02,2.24E-01,-2.00E-01,4.06E-01,3.88E-01,-1.76E-01,2.15E-01,4.00E-01,2.00E-01,2.50E-02
1.04E-02,-2.52E-02,3.85E-02,2.25E-01,-2.00E-01,4.05E-01,6.60E-02,-3.34E-02,2.43E-01,4.00E-01,2.00E-01,2.50E-02
1.03E-02,-2.52E-02,3.85E-02,2.26E-01,-2.00E-01,4.03E-01,6.62E-02,-3.34E-02,2.42E-01,4.00E-01,2.00E-01,2.50E-02
1.03E-02,-2.52E-02,3.86E-02,2.28E-01,-2.00E-01,4.02E-01,6.65E-02,-3.34E-02,2.41E-01,4.00E-01,2.00E-01,2.50E-02
1.02E-02,-2.52E-02,3.86E-02,2.29E-01,-2.00E-01,4.00E-01,6.67E-02,-3.34E-02,2.40E-01,4.00E-01,2.00E-01,2.50E-02
1.02E-02,-2.52E-02,3.86E-02,2.30E-01,-2.00E-01,3.99E-01,6.70E-02,-3.34E-02,2.39E-01,4.00E-01,2.00E-01,2.50E-02
1.01E-02,-2.52E-02,3.86E-02,2.50E-02,-2.50E-02,2.50E-02,1.39E-02,-2.52E-02,3.10E-02,4.00E-01,2.00E-01,2.50E-02
1.00E-02,-2.52E-02,3.86E-02,2.50E-02,-2.50E-02,2.50E-02,1.39E-02,-2.52E-02,3.10E-02,4.00E-01,2.00E-01,2.50E-02
9.95E-03,-2.52E-02,3.87E-02,2.50E-02,-2.50E-02,2.50E-02,1.38E-02,-2.52E-02,3.11E-02,4.00E-01,2.00E-01,2.50E-02
9.88E-03,-2.52E-02,3.87E-02,2.50E-02,-2.50E-02,2.50E-02,1.38E-02,-2.52E-02,3.11E-02,4.00E-01,2.00E-01,2.50E-02
9.80E-03,-2.52E-02,3.87E-02,2.50E-02,-2.50E-02,2.50E-02,1.37E-02,-2.52E-02,3.11E-02,4.00E-01,2.00E-01,2.50E-02
9.72E-03,-2.52E-02,3.88E-02,2.50E-02,-2.50E-02,2.50E-02,1.37E-02,-2.52E-02,3.11E-02,4.00E-01,2.00E-01,2.50E-02
1.20E-02,-2.52E-02,3.96E-02,2.50E-02,-2.50E-02,2.50E-02,1.54E-02,-2.52E-02,3.15E-02,4.00E-01,2.00E-01,2.50E-02
1.20E-02,-2.52E-02,3.97E-02,2.50E-02,-2.50E-02,2.50E-02,1.53E-02,-2.52E-02,3.15E-02,4.00E-01,2.00E-01,2.50E-02
1.19E-02,-2.52E-02,3.97E-02,2.50E-02,-2.50E-02,2.50E-02,1.53E-02,-2.52E-02,3.15E-02,4.00E-01,2.00E-01,2.50E-02
1.18E-02,-2.52E-02,3.97E-02,2.50E-02,-2.50E-02,2.50E-02,1.52E-02,-2.52E-02,3.15E-02,4.00E-01,2.00E-01,2.50E-02
1.17E-02,-2.52E-02,3.97E-02,2.50E-02,-2.50E-02,2.50E-02,1.52E-02,-2.52E-02,3.15E-02,4.00E-01,2.00E-01,2.50E-02
1.17E-02,-2.52E-02,3.98E-02,2.50E-02,-2.50E-02,2.50E-02,1.51E-02,-2.52E-02,3.15E-02,4.00E-01,2.00E-01,2.50E-02
1.16E-02,-2.52E-02,3.98E-02,2.50E-02,-2.50E-02,2.50E-02,1.50E-02,-2.52E-02,3.16E-02,4.00E-01,2.00E-01,2.50E-02
1.15E-02,-2.52E-02,3.98E-02,2.50E-02,-2.50E-02,2.50E-02,1.50E-02,-2.52E-02,3.16E-02,4.00E-01,2.00E-01,2.50E-02
1.14E-02,-2.52E-02,3.99E-02,2.50E-02,-2.50E-02,2.50E-02,1.49E-02,-2.52E-02,3.16E-02,4.00E-01,2.00E-01,2.50E-02
1.13E-02,-2.52E-02,3.99E-02,2.50E-02,-2.50E-02,2.50E-02,1.48E-02,-2.52E-02,3.16E-02,4.00E-01,2.00E-01,2.50E-02
1.29E-02,-2.52E-02,3.95E-02,2.50E-02,-2.50E-02,2.50E-02,1.60E-02,-2.52E-02,3.14E-02,4.00E-01,2.00E-01,2.50E-02
1.36E-02,-2.52E-02,3.93E-02,2.50E-02,-2.50E-02,2.50E-02,1.65E-02,-2.52E-02,3.13E-02,4.00E-01,2.00E-01,2.50E-02
1.39E-02,-2.52E-02,3.91E-02,2.50E-02,-2.50E-02,2.50E-02,1.68E-02,-2.52E-02,3.13E-02,4.00E-01,2.00E-01,2.50E-02
1.40E-02,-2.52E-02,3.91E-02,2.50E-02,-2.50E-02,2.50E-02,1.68E-02,-2.52E-02,3.12E-02,4.00E-01,2.00E-01,2.50E-02
1.40E-02,-2.52E-02,3.91E-02,2.50E-02,-2.50E-02,2.50E-02,1.69E-02,-2.52E-02,3.12E-02,4.00E-01,2.00E-01,2.50E-02
1.41E-02,-2.52E-02,3.91E-02,2.50E-02,-2.50E-02,2.50E-02,1.69E-02,-2.52E-02,3.12E-02,4.00E-01,2.00E-01,2.50E-02
1.41E-02,-2.52E-02,3.91E-02,2.50E-02,-2.50E-02,2.50E-02,1.69E-02,-2.52E-02,3.12E-02,4.00E-01,2.00E-01,2.50E-02
1.41E-02,-2.52E-02,3.91E-02,2.50E-02,-2.50E-02,2.50E-02,1.69E-02,-2.52E-02,3.12E-02,4.00E-01,2.00E-01,2.50E-02
1.41E-02,-2.52E-02,3.91E-02,2.50E-02,-2.50E-02,2.50E-02,1.69E-02,-2.52E-02,3.12E-02,4.00E-01,2.00E-01,2.50E-02
1.29E-02,-2.52E-02,3.95E-02,2.50E-02,-2.50E-02,2.50E-02,1.60E-02,-2.52E-02,3.14E-02,4.00E-01,2.00E-01,2.50E-02
1.29E-02,-2.52E-02,3.95E-02,2.50E-02,-2.50E-02,2.50E-02,1.60E-02,-2.52E-02,3.14E-02,4.00E-01,2.00E-01,2.50E-02
1.29E-02,-2.52E-02,3.95E-02,2.50E-02,-2.50E-02,2.50E-02,1.60E-02,-2.52E-02,3.14E-02,4.00E-01,2.00E-01,2.50E-02
1.29E-02,-2.52E-02,3.95E-02,2.50E-02,-2.50E-02,2.50E-02,1.60E-02,-2.52E-02,3.14E-02,4.00E-01,2.00E-01,2.50E-02
1.29E-02,-2.52E-02,3.95E-02,2.50E-02,-2.50E-02,2.50E-02,1.60E-02,-2.52E-02,3.14E-02,4.00E-01,2.00E-01,2.50E-02
1.29E-02,-2.52E-02,3.95E-02,2.50E-02,-2.50E-02,2.50E-02,1.60E-02,-2.52E-02,3.14E-02,4.00E-01,2.00E-01,2.50E-02
1.29E-02,-2.52E-02,3.95E-02,2.50E-02,-2.50E-02,2.50E-02,1.60E-02,-2.52E-02,3.14E-02,4.00E-01,2.00E-01,2.50E-02
1.29E-02,-2.52E-02,3.95E-02,2.50E-02,-2.50E-02,2.50E-02,1.60E-02,-2.52E-02,3.14E-02,4.00E-01,2.00E-01,2.50E-02
1.29E-02,-2.52E-02,3.95E-02,2.50E-02,-2.50E-02,2.50E-02,1.60E-02,-2.52E-02,3.14E-02,4.00E-01,2.00E-01,2.50E-02
1.29E-02,-2.52E-02,3.95E-02,2.50E-02,-2.50E-02,2.50E-02,1.60E-02,-2.52E-02,3.14E-02,4.00E-01,2.00E-01,2.50E-02
1.29E-02,-2.52E-02,3.95E-02,2.50E-02,-2.50E-02,2.50E-02,1.60E-02,-2.52E-02,3.14E-02,4.00E-01,2.00E-01,2.50E-02
1.29E-02,-2.52E-02,3.95E-02,2.50E-02,-2.50E-02,2.50E-02,1.60E-02,-2.52E-02,3.14E-02,4.00E-01,2.00E-01,2.50E-02
1.29E-02,-2.52E-02,3.95E-02,2.50E-02,-2.50E-02,2.50E-02,1.60E-02,-2.52E-02,3.14E-02,4.00E-01,2.00E-01,2.50E-02
1.29E-02,-2.52E-02,3.95E-02,2.50E-02,-2.50E-02,2.50E-02,1.60E-02,-2.52E-02,3.14E-02,4.00E-01,2.00E-01,2.50E-02
1.29E-02,-2.52E-02,3.95E-02,2.50E-02,-2.50E-02,2.50E-02,1.60E-02,-2.52E-02,3.14E-02,4.00E-01,2.00E-01,2.50E-02
1.29E-02,-2.52E-02,3.95E-02,2.50E-02,-2.50E-02,2.50E-02,1.60E-02,-2.52E-02,3.14E-02,4.00E-01,2.00E-01,2.50E-02
1.29E-02,-2.52E-02,3.95E-02,2.50E-02,-2.50E-02,2.50E-02,1.60E-02,-2.52E-02,3.14E-02,4.00E-01,2.00E-01,2.50E-02
1.29E-02,-2.52E-02,3.95E-02,2.50E-02,-2.50E-02,2.50E-02,1.60E-02,-2.52E-02,3.14E-02,4.00E-01,2.00E-01,2.50E-02
1.29E-02,-2.52E-02,3.95E-02,2.50E-02,-2.50E-02,2.50E-02,1.60E-02,-2.52E-02,3.14E-02,4.00E-01,2.00E-01,2.50E-02
1.29E-02,-2.52E-02,3.95E-02,2.50E-02,-2.50E-02,2.50E-02,1.60E-02,-2.52E-02,3.14E-02,4.00E-01,2.00E-01,2.50E-02
1.29E-02,-2.52E-02,3.95E-02,2.50E-02,-2.50E-02,2.50E-02,1.60E-02,-2.52E-02,3.14E-02,4.00E-01,2.00E-01,2.50E-02
1.29E-02,-2.52E-02,3.95E-02,2.50E-02,-2.50E-02,2.50E-02,1.60E-02,-2.52E-02,3.14E-02,4.00E-01,2.00E-01,2.50E-02
1.29E-02,-2.52E-02,3.95E-02,2.50E-02,-2.50E-02,2.50E-02,1.60E-02,-2.52E-02,3.14E-02,4.00E-01,2.00E-01,2.50E-02
1.29E-02,-2.52E-02,3.95E-02,2.50E-02,-2.50E-02,2.50E-02,1.60E-02,-2.52E-02,3.14E-02,4.00E-01,2.00E-01,2.50E-02
1.29E-02,-2.52E-02,3.95E-02,2.50E-02,-2.50E-02,2.50E-02,1.60E-02,-2.52E-02,3.14E-02,4.00E-01,2.00E-01,2.50E-02
1.29E-02,-2.52E-02,3.95E-02,2.50E-02,-2.50E-02,2.50E-02,1.60E-02,-2.52E-02,3.14E-02,4.00E-01,2.00E-01,2.50E-02
1.29E-02,-2.52E-02,3.95E-02,2.50E-02,-2.50E-02,2.50E-02,1.60E-02,-2.52E-02,3.14E-02,4.00E-01,2.00E-01,2.50E-02
1.29E-02,-2.52E-02,3.95E-02,2.50E-02,-2.50E-02,2.50E-02,1.60E-02,-2.52E-02,3.14E-02,4.50E-01,2.00E-01,3.50E-02
-3.71E-02,-2.52E-02,4.04E-02,2.50E-02,-2.50E-02,2.50E-02,-2.11E-02,-2.52E-02,3.18E-02,4.50E-01,2.00E-01,2.42E-02
